sample,taper0,taper1,taper2
1500,0.017788668383912437,-0.031423875709972598,0.023947383733650261
1501,0.017733299394216247,-0.031399254488020681,0.024037918553327549
1502,0.017677961298373086,-0.031374308931146594,0.024128031499523809
1503,0.017622654640743855,-0.031349039997221592,0.024217720920370434
1504,0.017567379964317349,-0.031323448649028571,0.024306985175608038
1505,0.017512137810702353,-0.031297535854235517,0.024395822636620493
1506,0.017456928720119794,-0.031271302585368872,0.024484231686468599
1507,0.017401753231394881,-0.031244749819786862,0.024572210719923437
1508,0.017346611881949341,-0.03121787853965265,0.024659758143499383
1509,0.017291505207793652,-0.031190689731907462,0.024746872375486756
1510,0.017236433743519339,-0.031163184388243618,0.02483355184598415
1511,0.017181398022291287,-0.031135363505077431,0.024919794996930401
1512,0.017126398575840099,-0.031107228083522065,0.025005600282136203
1513,0.017071435934454524,-0.031078779129360301,0.025090966167315435
1514,0.01701651062697386,-0.031050017653017185,0.025175891130116066
1515,0.016961623180780438,-0.031020944669532608,0.025260373660150753
1516,0.016906774121792159,-0.030991561198533822,0.025344412259027085
1517,0.016851963974455018,-0.03096186826420785,0.025428005440377495
1518,0.016797193261735718,-0.030931866895273788,0.02551115172988877
1519,0.016742462505114301,-0.030901558124955091,0.025593849665331306
1520,0.016687772224576812,-0.030870942990951732,0.025676097796587898
1521,0.016633122938608007,-0.030840022535412275,0.025757894685682303
1522,0.016578515164184113,-0.030808797804905898,0.025839238906807314
1523,0.016523949416765622,-0.030777269850394303,0.025920129046352609
1524,0.0164694262102901,-0.030745439727203575,0.026000563702932172
1525,0.016414946057165071,-0.030713308494995942,0.026080541487411374
1526,0.016360509468260925,-0.03068087721774148,0.026160061022933719
1527,0.016306116952903873,-0.030648146963689744,0.026239120944947243
1528,0.01625176901886892,-0.030615118805341276,0.026317719901230503
1529,0.016197466172372922,-0.030581793819419095,0.026395856551918288
1530,0.016143208918067621,-0.030548173086840092,0.02647352956952689
1531,0.016088997759032796,-0.030514257692686349,0.02655073763897909
1532,0.016034833196769356,-0.030480048726176365,0.026627479457628753
1533,0.015980715731192623,-0.030445547280636292,0.026703753735285083
1534,0.01592664586062547,-0.030410754453470978,0.026779559194236489
1535,0.015872624081791659,-0.030375671346135058,0.026854894569274129
1536,0.01581865088980914,-0.03034029906410388,0.026929758607715078
1537,0.015764726778183403,-0.030304638716844429,0.02700415006942514
1538,0.015710852238800869,-0.030268691417786157,0.027078067726841262
1539,0.015657027761922359,-0.030232458284291767,0.027151510364993688
1540,0.015603253836176537,-0.030195940437627865,0.027224476781527628
1541,0.015549530948553467,-0.03015913900293566,0.027296965786724667
1542,0.015495859584398152,-0.030122055109201476,0.027368976203523753
1543,0.015442240227404157,-0.030084689889227311,0.02744050686754184
1544,0.015388673359607264,-0.030047044479601243,0.027511556627094161
1545,0.015335159461379129,-0.030009120020667857,0.027582124343214196
1546,0.015281699011421067,-0.029970917656498536,0.027652208889673173
1547,0.015228292486757774,-0.029932438534861727,0.027721809152999273
1548,0.015174940362731194,-0.02989368380719316,0.027790924032496497
1549,0.015121643112994337,-0.029854654628565999,0.027859552440263079
1550,0.015068401209505216,-0.029815352157660912,0.027927693301209637
1551,0.015015215122520768,-0.029775777556736108,0.02799534555307687
1552,0.014962085320590863,-0.029735931991597329,0.02806250814645295
1553,0.014909012270552316,-0.029695816631567742,0.028129180044790536
1554,0.014855996437522979,-0.02965543264945783,0.028195360224423399
1555,0.014803038284895851,-0.02961478122153521,0.0282610476745827
1556,0.014750138274333226,-0.029573863527494363,0.028326241397412903
1557,0.01469729686576092,-0.029532680750426362,0.028390940407987314
1558,0.014644514517362517,-0.029491234076788532,0.028455143734323292
1559,0.014591791685573632,-0.029449524696374085,0.028518850417397015
1560,0.014539128825076283,-0.029407553802281591,0.028582059511157942
1561,0.014486526388793237,-0.029365322590884587,0.028644770082542886
1562,0.01443398482788244,-0.029322832261800987,0.028706981211489735
1563,0.014381504591731509,-0.029280084017862494,0.028768691990950765
1564,0.0143290861279522,-0.029237079065084014,0.028829901526905656
1565,0.014276729882374987,-0.029193818612632913,0.028890608938374057
1566,0.014224436299043653,-0.029150303872798343,0.02895081335742786
1567,0.014172205820209931,-0.029106536060960482,0.029010513929203049
1568,0.014120038886328184,-0.029062516395559668,0.029069709811911214
1569,0.014067935936050147,-0.02901824609806564,0.029128400176850679
1570,0.014015897406219691,-0.028973726392946573,0.029186584208417271
1571,0.013963923731867639,-0.028928958507638186,0.029244261104114717
1572,0.013912015346206646,-0.028883943672512766,0.029301430074564681
1573,0.013860172680626087,-0.028838683120848137,0.029358090343516406
1574,0.013808396164687015,-0.02879317808879666,0.02941424114785602
1575,0.013756686226117157,-0.028747429815354102,0.029469881737615462
1576,0.013705043290805959,-0.028701439542328559,0.029525011375981031
1577,0.013653467782799673,-0.028655208514309281,0.029579629339301576
1578,0.013601960124296479,-0.028608737978635473,0.029633734917096317
1579,0.013550520735641664,-0.028562029185365087,0.029687327412062266
1580,0.013499150035322847,-0.02851508338724356,0.029740406140081343
1581,0.01344784843996524,-0.028467901839672557,0.029792970430227078
1582,0.013396616364326978,-0.028420485800678623,0.029845019624770951
1583,0.013345454221294427,-0.028372836530881809,0.029896553079188346
1584,0.013294362421877644,-0.02832495529346438,0.029947570162164202
1585,0.013243341375205784,-0.028276843354139315,0.029998070255598207
1586,0.013192391488522609,-0.028228501981118943,0.030048052754609696
1587,0.013141513167182003,-0.028179932445083423,0.030097517067542118
1588,0.013090706814643596,-0.028131136019149336,0.030146462615967217
1589,0.01303997283246835,-0.028082113978838089,0.030194888834688752
1590,0.012989311620314251,-0.028032867602044435,0.030242795171745922
1591,0.012938723575932039,-0.027983398169004907,0.030290181088416388
1592,0.012888209095160957,-0.027933706962266203,0.03033704605921891
1593,0.012837768571924549,-0.027883795266653615,0.030383389571915675
1594,0.01278740239822655,-0.027833664369239387,0.030429211127514198
1595,0.012737110964146765,-0.0277833155593111,0.030474510240268891
1596,0.012686894657837023,-0.027732750128339968,0.030519286437682272
1597,0.012636753865517165,-0.027681969369949173,0.030563539260505763
1598,0.012586688971471102,-0.027630974579882173,0.030607268262740166
1599,0.012536700358042876,-0.027579767055970972,0.030650473011635745
1600,0.012486788405632811,-0.027528348098104397,0.030693153087691959
1601,0.012436953492693671,-0.027476719008196336,0.030735308084656819
1602,0.012387195995726895,-0.027424881090153987,0.030776937609525868
1603,0.012337516289278875,-0.027372835649846067,0.030818041282540835
1604,0.01228791474593725,-0.027320583995071056,0.030858618737187898
1605,0.012238391736327292,-0.027268127435525362,0.030898669620195562
1606,0.012188947629108295,-0.027215467282771535,0.030938193591532194
1607,0.012139582790970041,-0.027162604850206429,0.030977190324403246
1608,0.012090297586629287,-0.027109541453029372,0.031015659505247976
1609,0.012041092378826331,-0.027056278408210347,0.031053600833735966
1610,0.011991967528321589,-0.027002817034458098,0.03109101402276316
1611,0.011942923393892236,-0.026949158652188335,0.031127898798447601
1612,0.011893960332328906,-0.026895304583491843,0.031164254900124762
1613,0.011845078698432394,-0.02684125615210262,0.031200082080342563
1614,0.011796278845010465,-0.026787014683366001,0.031235380104855978
1615,0.011747561122874678,-0.026732581504206814,0.031270148752621345
1616,0.011698925880837228,-0.026677957943097467,0.031304387815790223
1617,0.011650373465707894,-0.026623145330026101,0.031338097099702984
1618,0.011601904222290986,-0.026568144996464711,0.031371276422881976
1619,0.011553518493382363,-0.026512958275337249,0.031403925617024347
1620,0.011505216619766485,-0.026457586500987746,0.031436044526994507
1621,0.011456998940213519,-0.026402031009148459,0.031467633010816287
1622,0.011408865791476487,-0.026346293136907988,0.031498690939664606
1623,0.011360817508288476,-0.026290374222679401,0.031529218197856958
1624,0.011312854423359862,-0.026234275606168384,0.03155921468284438
1625,0.011264976867375612,-0.026177998628341366,0.031588680305202184
1626,0.011217185168992611,-0.026121544631393642,0.031617614988620202
1627,0.011169479654837057,-0.026064914958717583,0.031646018669892834
1628,0.01112186064950188,-0.026008110954870725,0.031673891298908623
1629,0.011074328475544222,-0.025951133965543997,0.031701232838639494
1630,0.011026883453482959,-0.025893985337529853,0.031728043265129693
1631,0.010979525901796273,-0.025836666418690486,0.031754322567484325
1632,0.010932256136919265,-0.025779178557926004,0.031780070747857547
1633,0.010885074473241618,-0.025721523105142641,0.031805287821440383
1634,0.010837981223105295,-0.025663701411220978,0.031829973816448247
1635,0.010790976696802323,-0.0256057148279842,0.031854128774108079
1636,0.010744061202572567,-0.025547564708166312,0.031877752748645155
1637,0.010697235046601592,-0.025489252405380403,0.03190084580726945
1638,0.010650498533018554,-0.025430779274086913,0.031923408030161811
1639,0.010603851963894139,-0.025372146669561963,0.031945439510459646
1640,0.010557295639238561,-0.025313355947865632,0.031966940354242336
1641,0.010510829856999592,-0.025254408465810313,0.03198791068051629
1642,0.010464454913060636,-0.025195305580929028,0.03200835062119961
1643,0.010418171101238874,-0.025136048651443813,0.032028260321106485
1644,0.010371978713283421,-0.025076639036234111,0.032047639937931152
1645,0.010325878038873554,-0.025017078094805148,0.032066489642231563
1646,0.010279869365616985,-0.024957367187256402,0.032084809617412752
1647,0.010233952979048168,-0.024897507674250037,0.032102600059709732
1648,0.010188129162626656,-0.024837500916979383,0.032119861178170207
1649,0.010142398197735521,-0.024777348277137418,0.032136593194636791
1650,0.010096760363679786,-0.024717051116885328,0.03215279634372898
1651,0.010051215937684953,-0.024656610798821026,0.032168470872824782
1652,0.010005765194895527,-0.024596028685947749,0.032183617042041944
1653,0.0099604084083736097,-0.024535306141642673,0.032198235124218898
1654,0.0099151458490975546,-0.024474444529625512,0.032212325404895381
1655,0.0098699777859606267,-0.024413445213927198,0.032225888182292627
1656,0.0098249044857697601,-0.024352309558858611,0.032238923767293336
1657,0.0097799262132443211,-0.024291038928979245,0.032251432483421237
1658,0.0097350432310149265,-0.024229634689066002,0.032263414666820311
1659,0.0096902557996223233,-0.024168098204081955,0.032274870666233739
1660,0.0096455641775163112,-0.024106430839145192,0.032285800842982465
1661,0.0096009686210546813,-0.024044633959497654,0.032296205570943433
1662,0.0095564693845022509,-0.02398270893047404,0.032306085236527518
1663,0.0095120667200299016,-0.023920657117470708,0.032315440238657095
1664,0.0094677608777136817,-0.023858479885914666,0.032324270988743305
1665,0.0094235521055339617,-0.023796178601232544,0.032332577910662977
1666,0.009379440649374602,-0.023733754628819635,0.032340361440735203
1667,0.0093354267530222253,-0.023671209334008972,0.032347622027697663
1668,0.0092915106581654798,-0.02360854408204047,0.032354360132682516
1669,0.0092476926043943627,-0.023545760238030011,0.032360576229192042
1670,0.009203972829199613,-0.023482859166938718,0.032366270803073936
1671,0.00916035156797213,-0.023419842233542144,0.032371444352496274
1672,0.009116829054002424,-0.023356710802399545,0.032376097387922173
1673,0.009073405518480156,-0.023293466237823225,0.032380230432084101
1674,0.00903008119049367,-0.023230109903847898,0.032383844019957898
1675,0.0089868562970296072,-0.023166643164200085,0.032386938698736475
1676,0.0089437310629725611,-0.023103067382267577,0.032389515027803129
1677,0.0089007057111047654,-0.023039383921068943,0.032391573578704695
1678,0.0088577804621058319,-0.022975594143223067,0.032393114935124159
1679,0.0088149555345525439,-0.022911699410918758,0.03239413969285318
1680,0.0087722311449186831,-0.022847701085884374,0.032394648459764162
1681,0.0087296075075749043,-0.022783600529357538,0.032394641855782023
1682,0.008687084834788656,-0.022719399102054862,0.03239412051285568
1683,0.0086446633367241558,-0.02265509816414174,0.032393085074929259
1684,0.0086023432214423837,-0.022590699075202218,0.032391536197912914
1685,0.0085601246949011597,-0.022526203194208883,0.032389474549653387
1686,0.0085180079609552331,-0.022461611879492797,0.032386900809904265
1687,0.0084759932213564308,-0.022396926488713522,0.032383815670295898
1688,0.0084340806757538505,-0.022332148378829159,0.03238021983430503
1689,0.0083922705216941014,-0.022267278906066484,0.032376114017224129
1690,0.008350562954621563,-0.022202319425891088,0.032371498946130381
1691,0.0083089581678787387,-0.022137271292977625,0.032366375359854455
1692,0.0082674563527066168,-0.022072135861180103,0.032360744008948873
1693,0.0082260576982450713,-0.022006914483502189,0.032354605655656156
1694,0.00818476239153333,-0.021941608512067643,0.032347961073876635
1695,0.0081435706175104951,-0.021876219298090773,0.03234081104913597
1696,0.008102482559016062,-0.021810748191846939,0.032333156378552372
1697,0.0080614983967905313,-0.021745196542643144,0.032324997870803528
1698,0.0080206183094760318,-0.021679565698788674,0.032316336346093225
1699,0.0079798424736170145,-0.021613857007565795,0.032307172636117709
1700,0.0079391710636609585,-0.021548071815200534,0.032297507584031708
1701,0.0078986042519591584,-0.021482211466833483,0.032287342044414219
1702,0.0078581422087675261,-0.021416277306490733,0.032276676883233935
1703,0.0078177851022474456,-0.021350270677054806,0.032265512977814471
1704,0.0077775330984666798,-0.021284192920235676,0.032253851216799204
1705,0.0077373863614003087,-0.021218045376541893,0.03224169250011593
1706,0.0076973450529317115,-0.021151829385251696,0.032229037738941126
1707,0.0076574093328536036,-0.021085546284384291,0.032215887855664045
1708,0.007617579358869116,-0.021019197410671105,0.032202243783850441
1709,0.0075778552865928949,-0.020952784099527173,0.032188106468206037
1710,0.0075382372695522787,-0.02088630768502257,0.032173476864539738
1711,0.0074987254591884871,-0.020819769499853896,0.032158355939726511
1712,0.0074593200048578842,-0.020753170875315894,0.032142744671670075
1713,0.007420021053833251,-0.020686513141273056,0.032126644049265234
1714,0.0073808287513051291,-0.020619797626131364,0.032110055072359964
1715,0.0073417432403831868,-0.020553025656810088,0.032092978751717238
1716,0.0073027646620976499,-0.020486198558713645,0.032075416108976573
1717,0.0072638931554007439,-0.020419317655703546,0.032057368176615274
1718,0.0072251288571682105,-0.020352384270070401,0.032038835997909479
1719,0.0071864719022008477,-0.020285399722506037,0.032019820626894874
1720,0.0071479224232261079,-0.020218365332075657,0.032000323128327152
1721,0.0071094805508997048,-0.020151282416190078,0.031980344577642233
1722,0.0070711464138073091,-0.020084152290578076,0.031959886060916216
1723,0.0070329201384662487,-0.020016976269258756,0.031938948674824996
1724,0.0069948018493272701,-0.019949755664514082,0.031917533526603759
1725,0.0069567916687763333,-0.019882491786861391,0.031895641734006101
1726,0.0069188897171364545,-0.019815185945026081,0.031873274425262929
1727,0.0068810961126695861,-0.019747839445914302,0.031850432739041097
1728,0.0068434109715785375,-0.019680453594585787,0.031827117824401806
1729,0.0068058344080089402,-0.019613029694226711,0.031803330840758724
1730,0.0067683665340512568,-0.019545569046122695,0.031779072957835885
1731,0.0067310074597428226,-0.019478072949631837,0.031754345355625282
1732,0.0066937572930699345,-0.019410542702157856,0.031729149224344284
1733,0.0066566161399699876,-0.019342979599123324,0.031703485764392747
1734,0.0066195841043336376,-0.019275384933942971,0.031677356186309902
1735,0.0065826612880070089,-0.019207759997997089,0.031650761710730994
1736,0.0065458477907939525,-0.019140106080604978,0.03162370356834366
1737,0.0065091437104583382,-0.019072424468998574,0.031596182999844118
1738,0.0064725491427263812,-0.019004716448296047,0.03156820125589304
1739,0.0064360641812890203,-0.018936983301475592,0.031539759597071226
1740,0.0063996889178043279,-0.01886922630934924,0.031510859293835063
1741,0.0063634234418999645,-0.018801446750536795,0.031481501626471696
1742,0.0063272678411756744,-0.018733645901439822,0.031451687885054008
1743,0.0062912222012058159,-0.018665825036215798,0.03142141936939534
1744,0.0062552866055419322,-0.018597985426752252,0.031390697389003956
1745,0.0062194611357153685,-0.018530128342641113,0.031359523263037356
1746,0.0061837458712399249,-0.01846225505115304,0.031327898320256287
1747,0.0061481408896145433,-0.018394366817211946,0.031295823898978538
1748,0.006112646266326043,-0.018326464903369512,0.031263301347032563
1749,0.0060772620748518859,-0.018258550569779895,0.031230332021710782
1750,0.0060419883866629906,-0.018190625074174464,0.031196917289722764
1751,0.0060068252712265797,-0.01812268967183665,0.031163058527148117
1752,0.0059717727960090687,-0.018054745615576913,0.031128757119389179
1753,0.0059368310264789849,-0.017986794155707773,0.031094014461123514
1754,0.0059020000261099416,-0.017918836540018974,0.031058831956256139
1755,0.0058672798563836363,-0.017850874013752675,0.031023211017871592
1756,0.005832670576792885,-0.017782907819578846,0.030987153068185731
1757,0.0057981722448447173,-0.017714939197570664,0.030950659538497398
1758,0.0057637849160634769,-0.017646969385180067,0.030913731869139767
1759,0.0057295086439939904,-0.017578999617213396,0.03087637150943159
1760,0.0056953434802047564,-0.017511031125807118,0.03083857991762818
1761,0.0056612894742911757,-0.017443065140403689,0.030800358560872165
1762,0.0056273466738788174,-0.017375102887727447,0.030761708915144109
1763,0.0055935151246267328,-0.017307145591760695,0.030722632465212847
