"RecordingID","EpochIndex","EpochStartSeconds","EpochEndSeconds","PredLabel","Confidence","ConsecutiveQualifyingNREM","Triggered","Reason","TtlMode","PulseWidthMs","CooldownRemainingSeconds","EventTimeUTC","SimulatedTtlOnTimeSeconds"
"realtime_demo_single_subject","174","346.000","348.000","Wake","0.683032","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","175","348.000","350.000","Wake","0.650999","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","176","350.000","352.000","Wake","0.601039","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","177","352.000","354.000","Wake","0.466910","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","178","354.000","356.000","Wake","0.507005","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","179","356.000","358.000","Wake","0.716772","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","180","358.000","360.000","Wake","0.901127","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","181","360.000","362.000","Wake","0.945498","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","182","362.000","364.000","Wake","0.966053","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","183","364.000","366.000","Wake","0.913907","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","184","366.000","368.000","Wake","0.955704","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","185","368.000","370.000","Wake","0.908699","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","186","370.000","372.000","Wake","0.848769","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","187","372.000","374.000","Wake","0.911993","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","188","374.000","376.000","Wake","0.851117","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","189","376.000","378.000","Wake","0.902567","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","190","378.000","380.000","Wake","0.893848","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","191","380.000","382.000","Wake","0.854535","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","192","382.000","384.000","Wake","0.871461","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","193","384.000","386.000","Wake","0.673962","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","194","386.000","388.000","Wake","0.695118","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","195","388.000","390.000","Wake","0.913458","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","196","390.000","392.000","Wake","0.880683","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","197","392.000","394.000","Wake","0.887120","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
