"RecordingID","EpochIndex","EpochStartSeconds","EpochEndSeconds","Status","WindowStartSample","WindowEndSample","SourceSampleRate","ProcessingSampleRate","ReplayEpochCloseSeconds","EpochAvailableSeconds","WallClockElapsedSeconds","DecisionWallTimeSeconds","InferenceLatencyMs","EndToEndLatencyMs","MissedDeadline","FeatureWindowSeconds","ModelProfile","RawCode","PredLabel","Confidence"
"realtime_demo_single_subject","67","132.000","134.000","scored","3840000","4020000","30000.000","1000.000","134.000","134.000","133.840698","133.840698","1.000700","1.002100","False","2.000","E2.0W3","2","Wake","0.955580"
"realtime_demo_single_subject","68","134.000","136.000","scored","3900000","4080000","30000.000","1000.000","136.000","136.000","135.840307","135.840307","0.788600","0.790100","False","2.000","E2.0W3","2","Wake","0.809902"
"realtime_demo_single_subject","69","136.000","138.000","scored","3960000","4140000","30000.000","1000.000","138.000","138.000","137.840023","137.840023","0.889900","0.891800","False","2.000","E2.0W3","2","Wake","0.679057"
"realtime_demo_single_subject","70","138.000","140.000","scored","4020000","4200000","30000.000","1000.000","140.000","140.000","139.840611","139.840611","0.726800","0.728200","False","2.000","E2.0W3","2","Wake","0.802205"
"realtime_demo_single_subject","71","140.000","142.000","scored","4080000","4260000","30000.000","1000.000","142.000","142.000","141.840264","141.840264","0.698600","0.700300","False","2.000","E2.0W3","2","Wake","0.700743"
"realtime_demo_single_subject","72","142.000","144.000","scored","4140000","4320000","30000.000","1000.000","144.000","144.000","143.839798","143.839798","0.754300","0.756200","False","2.000","E2.0W3","2","Wake","0.455992"
"realtime_demo_single_subject","73","144.000","146.000","scored","4200000","4380000","30000.000","1000.000","146.000","146.000","145.841559","145.841559","0.770500","0.771900","False","2.000","E2.0W3","1","REM","0.545652"
"realtime_demo_single_subject","74","146.000","148.000","scored","4260000","4440000","30000.000","1000.000","148.000","148.000","147.840309","147.840309","0.800400","0.802400","False","2.000","E2.0W3","2","Wake","0.453613"
"realtime_demo_single_subject","75","148.000","150.000","scored","4320000","4500000","30000.000","1000.000","150.000","150.000","149.841316","149.841316","1.120200","1.121800","False","2.000","E2.0W3","2","Wake","0.525472"
"realtime_demo_single_subject","76","150.000","152.000","scored","4380000","4560000","30000.000","1000.000","152.000","152.000","151.840625","151.840625","0.753300","0.754800","False","2.000","E2.0W3","2","Wake","0.810256"
"realtime_demo_single_subject","77","152.000","154.000","scored","4440000","4620000","30000.000","1000.000","154.000","154.000","153.840165","153.840165","0.768300","0.771700","False","2.000","E2.0W3","2","Wake","0.905485"
"realtime_demo_single_subject","78","154.000","156.000","scored","4500000","4680000","30000.000","1000.000","156.000","156.000","155.840113","155.840113","0.988400","0.989900","False","2.000","E2.0W3","2","Wake","0.916767"
"realtime_demo_single_subject","79","156.000","158.000","scored","4560000","4740000","30000.000","1000.000","158.000","158.000","157.839780","157.839780","0.718500","0.720100","False","2.000","E2.0W3","2","Wake","0.966397"
"realtime_demo_single_subject","80","158.000","160.000","scored","4620000","4800000","30000.000","1000.000","160.000","160.000","159.841190","159.841190","0.704800","0.706900","False","2.000","E2.0W3","2","Wake","0.992411"
"realtime_demo_single_subject","81","160.000","162.000","scored","4680000","4860000","30000.000","1000.000","162.000","162.000","161.840793","161.840793","0.968400","0.970200","False","2.000","E2.0W3","2","Wake","0.996335"
"realtime_demo_single_subject","82","162.000","164.000","scored","4740000","4920000","30000.000","1000.000","164.000","164.000","163.839683","163.839683","0.731800","0.733300","False","2.000","E2.0W3","2","Wake","0.977331"
"realtime_demo_single_subject","83","164.000","166.000","scored","4800000","4980000","30000.000","1000.000","166.000","166.000","165.842091","165.842091","1.103300","1.104400","False","2.000","E2.0W3","2","Wake","0.973511"
"realtime_demo_single_subject","84","166.000","168.000","scored","4860000","5040000","30000.000","1000.000","168.000","168.000","167.841601","167.841601","0.792800","0.794900","False","2.000","E2.0W3","2","Wake","0.922719"
"realtime_demo_single_subject","85","168.000","170.000","scored","4920000","5100000","30000.000","1000.000","170.000","170.000","169.842339","169.842339","1.124900","1.126500","False","2.000","E2.0W3","2","Wake","0.916949"
"realtime_demo_single_subject","86","170.000","172.000","scored","4980000","5160000","30000.000","1000.000","172.000","172.000","171.840258","171.840258","0.753600","0.754700","False","2.000","E2.0W3","2","Wake","0.853662"
"realtime_demo_single_subject","87","172.000","174.000","scored","5040000","5220000","30000.000","1000.000","174.000","174.000","173.841444","173.841444","0.685600","0.687700","False","2.000","E2.0W3","2","Wake","0.992002"
"realtime_demo_single_subject","88","174.000","176.000","scored","5100000","5280000","30000.000","1000.000","176.000","176.000","175.840011","175.840011","0.799500","0.801300","False","2.000","E2.0W3","2","Wake","0.986939"
"realtime_demo_single_subject","89","176.000","178.000","scored","5160000","5340000","30000.000","1000.000","178.000","178.000","177.841815","177.841815","0.914700","0.916500","False","2.000","E2.0W3","2","Wake","0.989971"
